id,restaurant_id,work_hour
269,e36daaa0-badf-4f98-ac60-e4320ed45039,16-3بامداد
270,9514b494-c27c-49ee-867d-774825290575,Sep-22
271,3ef88188-e3cf-4ab9-b700-1fa6ab1aa5bd,رستوران
272,c84cff64-9d42-4296-83f0-876207af3de4,8:30-24
273,edbae5b7-38c2-41d4-8c63-0af21b40d835,Oct-24
274,9bee2102-99c0-41a0-932e-940757f93677,8:30-24
275,d6a44700-5683-4ad5-bc93-2dcd9bd55312,19:30-24
276,63065f7c-bc05-4ba6-b8a5-db6048fe22d4,Nov-24
277,763a3e1a-7640-4d37-ba1e-c45aeecfa08b,Dec-24
278,1093faf4-ffdc-4ac8-9a1d-5a8630bf63b6,8-11/12-15:30/18:30-24
279,5570362f-e449-4451-abdf-1317b074fb60,12-15/19-23
280,0ff27418-3fdf-43c1-b985-da26108bbb73,Dec-24
281,3405d4ba-784f-4e45-8234-85c5ae69e69c,8:30-24
282,9bb6b65d-f31f-472d-8425-6b4197f795d3,Oct-24
283,e23d74dd-f30d-40f3-98fc-1424effa98ae,Nov-24
284,f5739e54-d6a0-468a-85e0-d5dde9bc6873,11-17/19-24
285,b1602b11-3a8d-4046-b0b1-68a9e7091a31,Sep-24
286,b0bbb951-7c70-4acc-9735-ac82a1279ea0,8:30-13:30/17-24
287,044305dc-7d60-458c-92ec-b475d1fcf72e,Aug-24
288,f32a35f0-5376-429d-a371-bcbfbc9d167b,Nov-24
289,0ef8f6cb-3b0d-4fa3-860d-744547d6ae3b,Aug-23
290,a288c33a-50a1-4d7c-9cf4-015b08e28f46,Oct-24
291,142226ff-9688-486c-947d-1a30d9fcfc97,Nov-23
292,5c868b17-b8b7-46e6-96e6-0af5e7e44db1,Dec-24
293,8691974a-5681-45d7-9aa4-871b94e78af9,Dec-24
294,f261a0be-be12-4f5f-80e0-119938804148,Nov-24
295,126f087f-1eb6-4261-9916-915d345b1ae9,Dec-23
296,99d4374e-15db-4f77-8516-fbd0954174b5,8:30-24
297,755c5eb6-4604-411f-a03f-b64bcdf207ed,20-23:30
298,ccf980bc-4e88-4787-90aa-7330d06e786e,Dec-24
299,caa5c3fe-f340-4f58-ac53-d12cbca46dcd,Nov-24
300,a1c01599-55cb-4753-aeb4-dbbca609e861,10-23:45
301,c1e44567-479a-418f-b047-0161248c86e0,Dec-24
302,5b0e8b89-0cd1-4333-9a0e-132343664f00,Sep-24
303,cf9ae9b4-37fb-4b65-90d0-0c804b4de3f4,Dec-24
304,a28d0bdb-760b-4f82-9a78-e37d324aa7c2,Sep-24
305,afaa48d2-3184-4501-b3c3-4a3fd308b265,Nov-23
306,8efbfa8e-49c0-44d8-a05d-046c11cd812e,Dec-24
307,8187efe6-d3bb-4f2d-85fe-e82434e99e37,Nov-24
308,ef2d45df-21fc-4347-a939-fb4ffa3cea98,13-23
309,826431ca-2d1e-4c1b-bb74-7e0252129e95,Sep-21
310,686e7a74-ae49-48c2-9286-921ef8a04f90,11:30-23
