,id,name
306,3b9af92d-58ff-4db0-9166-ad80f626e5d9,ایوان (لاله زار)
307,b6793087-1688-427a-94e5-4c2f06fe03e1,کاست
308,a2012f93-9fed-47a2-8802-0b191e2543d4,کوتاه قامتان
309,1c91834f-8b49-47fa-a0e0-120c4036c799,خانه 1307
310,e0fcadc4-02b2-47b0-bc00-d1da66ffc7ec,چیمنی (وزرا)
311,e058abb8-eeb2-422e-afc5-ed07b08b51a3,چمینی پلاس
312,59a0fe2c-b1b9-41da-9e0d-343816a0b498,پاک
313,65e31c59-4f5e-4965-8e3a-6a38b01e9a9a,بوریتو
314,34b32465-cc1e-dfad-eb34-55c2872e68b9,توژی برگر
315,4ca68766-3973-485b-8d83-49d62dc91c58,تینا
316,4237a254-bc6f-4a66-89ba-198a1f8d0376,بازیل
317,2f219124-d40e-4d9d-8edb-7edc55a8e25d,نوین
318,399b318f-88ed-4feb-90dc-7a72a031e89e,فم شیک
319,39cb4320-7d1a-47c3-a3ad-dbbabd6f639b,شوخ (سهروردی)
320,8c796029-626e-4c3a-b736-ed5f10177aa0,آنوبانی
321,e77c6255-451b-4120-bea6-250eaa0c16dc,تهرون کندوان
322,85ecf194-3c42-4bd9-8979-f2838b5017ea,پیتزا هایت (آپادانا)
323,53b7625d-eb02-499a-84f4-f28f87ffa47f,نارون (انقلاب)
324,999dfe1e-a6f5-4b5b-95af-f09931743a43,سپه سالار 
325,22e33585-f72d-45cd-858d-85a1412716dd,ژوزک (سهروردی)
326,a4d93998-9d83-4739-87a6-4d9c6b901f54,پرپروک (آپادانا)
327,f684c407-f3ca-43fc-bac8-9536117a0330,املت و دیزی سرای علی
328,ef623365-03cf-4c92-992e-1359be5145c4,تله پیتزا (نیلوفر)
329,5cc9c261-603d-41a1-bef0-f356ea620007,غولی
330,4d3ededd-67e1-4a51-9ca3-352d5cfc2a85,تز برگر
331,43b3203e-6d74-49be-a1e1-7b6c9bc729d0,ستراس
332,8c5ad137-43a9-4a16-8f8a-a6f848ee5ab2,دیزی سرای ولیعصر
333,c09027ba-62f2-4d50-8cc3-128a631d99f8,دلژین
334,1f5e9374-3b9a-4e5b-8da9-e6269dc6e05c,خوان (آپادانا)
335,f3914df8-4d16-4208-8a0b-71ba3ec8e0f5,غذاکده طوس
336,4431e973-885d-4f6d-9291-7b73ce047698,فلفل قرمز
337,ab746e92-5cf2-4343-9332-abd164708224,روبن
338,656174ce-12bd-40b2-a7f7-defa3f49e16e,غزل (سهروردی)
339,b292f219-62be-49f5-a187-f16dab949bda,باهاس
340,a185bd11-e1d4-4791-b09e-26720c339430,گرپ
341,44628ccb-bb1b-4ceb-92e8-4abf1d4be56b,پیتزا هات (سهروردی)
